"before","after","villages"
"unresolved","unresolved",9103
"upper","upper",7020
NA,"unresolved",783
"muslim","muslim",534
"obc","obc",6997
NA,"obc",476
"obc","unresolved",396
"st","st",161
"unresolved","none",105
"upper","unresolved",387
"none","none",331
"unresolved","obc",418
"obc","upper",107
"sc","unresolved",48
"sc","sc",100
NA,"sc",24
"upper","obc",105
"none","unresolved",113
"unresolved","upper",300
"muslim","unresolved",68
"unresolved","muslim",39
NA,"upper",476
NA,"st",10
"st","unresolved",20
"st","none",4
"unresolved","st",26
"upper","st",1
"st","sc",1
"st","upper",3
"upper","none",49
"obc","none",31
"sc","upper",14
"sc","obc",18
"obc","sc",7
NA,"none",15
"unresolved","sc",15
"none","obc",22
"none","upper",27
"sc","none",7
"upper","sc",5
"none","muslim",3
"muslim","none",6
"muslim","obc",10
NA,"muslim",37
"st","obc",10
"obc","st",7
"sc","muslim",1
"muslim","upper",5
"upper","muslim",1
"none","sc",1
